id,query,metric,hits,sessions
31468448,анна тодд,pdp_view,50,37
19874893,свинтус,pdp_view,180,146
142125702,шоколад,pdp_view,20,2
142106214,косметика детская,pdp_view,6,2
147077350,сергей тармашев,pdp_view,8,6
135565813,развивающие карточки,pdp_view,34,24
136228215,tabasco,pdp_view,49,34
146780705,салфетки бумажные,pdp_view,171,100
147659818,чайник заварочный фарфоровый,pdp_view,2,2
141454675,одежда для кукол,pdp_view,19,12
146338875,lego,pdp_view,285,182
137480300,плита,pdp_view,7,1
32161894,книги холли вебб,pdp_view,3,3
141422120,сито,pdp_view,92,73
143028062,набор контейнеров для молока,pdp_view,5,1
32610877,чай зеленый,pdp_view,8,8
147399396,147399396,pdp_view,1,1
147494247,развивающие карточки,pdp_view,6,1
139799117,хюгге,pdp_view,211,173
142155300,металлоискатели,pdp_view,3,2
142922713,nivea,pdp_view,82,61
26438281,любаров,pdp_view,3,3
136265023,этажерка,pdp_view,11,7
145580570,банка для сыпучих продуктов,pdp_view,6,6
147195979,камзеева огэ,pdp_view,1,1
147654970,мультипекарь,pdp_view,1,1
26145300,крем для лица,pdp_view,25,18
144776695,step puzzle 60,pdp_view,1,1
137652657,как лисёнок счастье искал,pdp_view,1,1
33731507,чай,pdp_view,15,2
141804833,закладки для книг,pdp_view,10,7
146663262,наклейки многоразовые,pdp_view,10,8
147020893,намедни леонид парфенов,pdp_view,49,45
140942877,ручка,pdp_view,1,1
136801974,ollin,pdp_view,3,3
139580484,хранение игрушек,pdp_view,23,12
18571364,космос,pdp_view,1,1
143322164,чайники,pdp_view,1,1
146277872,каталка,pdp_view,35,13
33631503,зеленый чай в пакетиках ahmad,pdp_view,1,1
143871887,доска разделочная,pdp_view,2,2
146105793,технопарк,pdp_view,3,3
147618090,новый год,pdp_view,33,5
139737113,колготки женские,pdp_view,28,1
141150714,игрушки от 2 лет,pdp_view,1,1
145629328,наклейки оценки,pdp_view,6,5
139987936,все-все-все для малышей росмэн,pdp_view,1,1
144904692,маникюрный набор,pdp_view,2,2
139347213,хранение вещей,pdp_view,7,1
34377444,твистер,pdp_view,14,11
145640395,для купания,pdp_view,1,1
31710225,опыты и эксперименты для детей,pdp_view,6,2
145337316,минеральная вода,pdp_view,4,2
144064417,футбольный мяч,pdp_view,1,1
145824292,наклейки,pdp_view,71,28
141301534,zero,pdp_view,40,35
135376196,утюг,pdp_view,22,10
147834401,детский сувенир,pdp_view,3,1
145844859,145844859,pdp_view,1,1
31627915,фотоальбом,pdp_view,25,11
136966430,перец черный,pdp_view,3,3
141212521,аспиратор,pdp_view,18,12
145579792,ведро,pdp_view,19,10
146294474,акушерство и гинекология,pdp_view,2,1
147615192,короткие сказки,pdp_view,6,1
140463517,солгар,pdp_view,24,17
8152742,бергамот,pdp_view,1,1
140280822,пазл,pdp_view,12,7
138347615,елочная игрушка стекло,pdp_view,4,1
31731159,the skin house,pdp_view,6,6
143864545,чайник электрический,pdp_view,3,3
136648681,корма для кошек,pdp_view,1,1
146340595,synergetic,pdp_view,42,36
141398256,спиннер,pdp_view,14,13
136074616,доска разделочная,pdp_view,22,6
28801485,кумон рабочие тетради,pdp_view,16,12
140941617,ручки шариковые,pdp_view,13,8
20116740,пилочка для ногтей детская,pdp_view,2,2
147418097,флуконазол,pdp_view,7,4
138431522,флолмастеры,pdp_view,1,1
141275731,туалетная вода,pdp_view,52,5
147835104,шахматы,pdp_view,11,8
143924375,кунжут,pdp_view,24,20
137989197,туалетная бумага,pdp_view,53,50
147412539,новый год,pdp_view,28,3
141001088,колонок кисти,pdp_view,2,2
144878620,контейнер,pdp_view,1,1
144827430,футляр для хранения,pdp_view,6,1
147391775,сверло 10 мм по металлу,pdp_view,1,1
23736903,космос,pdp_view,23,1
144925024,игрушка подушка,pdp_view,1,1
143078005,щипцы для завивки волос,pdp_view,5,4
147565635,apple 6s,pdp_view,14,1
138294675,подвесные украшения,pdp_view,8,1
147743457,серебро,pdp_view,1,1
142310489,шамиль ахмадуллин,pdp_view,13,11
4258798,наклейки для детей,pdp_view,9,9
144401481,маки,pdp_view,7,3
24975442,ломоносовская школа,pdp_view,21,15
146751324,конфеты с алкоголем,pdp_view,1,1
137586261,автокресло,pdp_view,2,2
30785210,пакеты для мусора,pdp_view,7,7
